Compound	Cluster	Classes	Common names	MetaCyc link
CPD-7643	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	(5-formylfuran-3-yl)methyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-7643
CPD-7246	3	N-acetyl-a-D-hexosamine-1-phosphates, Chemicals, FRAMES, Hexose-phosphates, Monosaccharides, Carbohydrates, Glycans, Compounds, Hexosamines, Carbohydrate-Derivatives, All-Carbohydrates, Sugar-1-Phosphate, Alpha-Hexose-1-Phosphates, Hexose-1-Phosphate, Sugar-Phosphate, Amino-Sugars, Compounds-And-Elements, Sugar	N-acetyl-&alpha;-D-galactosamine 1-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-7246
D-XYLONATE	3	Chemicals, Carbohydrate-acids, FRAMES, Monosaccharides, Carbohydrates, Glycans, Compounds, Aldonic-Acids, All-Carboxy-Acids, Carboxylates, Organic-Acids, All-Carbohydrates, Acids, Compounds-And-Elements, Sugar	D-xylonate	https://metacyc.org/compound?orgid=META&id=D-XYLONATE
CPD-15586	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	2-amino-2-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-15586
CPD-330	3	Chemicals, Compounds, Gamma-lactones, Lactones, FRAMES, Esters, Compounds-And-Elements	L-galactono-1,4-lactone	https://metacyc.org/compound?orgid=META&id=CPD-330
CPD-16467	3	Organic-Acids, Chemicals, Acids, FRAMES, dicarboxylate, Compounds, All-Carboxy-Acids, Compounds-And-Elements, Carboxylates	3-[(1-carboxyvinyl)oxy]benzoate	https://metacyc.org/compound?orgid=META&id=CPD-16467
D-Galactopyranuronate	3	Chemicals, Carbohydrate-acids, FRAMES, Pyranuronates, Carbohydrates, Glycans, Compounds, Uronates, Galacturonate, Carboxylates, All-Carboxy-Acids, Monocarboxylates, Organic-Acids, All-Carbohydrates, Acids, Hexuronates, D-GALACTURONATE, Compounds-And-Elements	D-galactopyranuronate	https://metacyc.org/compound?orgid=META&id=D-Galactopyranuronate
2-DEHYDRO-3-DEOXY-D-GLUCONATE	3	Organic-Acids, Chemicals, 2-Oxo-Acids, Acids, FRAMES, Compounds, All-Carboxy-Acids, Compounds-And-Elements, 2-Oxo-carboxylates, Carboxylates	2-dehydro-3-deoxy-D-gluconate	https://metacyc.org/compound?orgid=META&id=2-DEHYDRO-3-DEOXY-D-GLUCONATE
CPD-471	3	Beta-amino-acids, Organic-Acids, Chemicals, Acids, FRAMES, Non-alpha-amino-acids, Compounds, Amino-Acids, All-Amino-Acids, 3-AMINO-ISOBUTYRATE, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	(R)-3-amino-2-methylpropanoate	https://metacyc.org/compound?orgid=META&id=CPD-471
D-ALTRONATE	3	Organic-Acids, Chemicals, All-Carbohydrates, Acids, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Compounds, All-Carboxy-Acids, Compounds-And-Elements, Aldonic-Acids, Carboxylates	D-altronate	https://metacyc.org/compound?orgid=META&id=D-ALTRONATE
CPD-19754	3	Organic-Acids, Chemicals, Acids, FRAMES, Modified-Amino-Acids, Compounds, Amino-Acids, All-Amino-Acids, Amino-Acid-Derivatives, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate	https://metacyc.org/compound?orgid=META&id=CPD-19754
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA	https://metacyc.org/compound?orgid=META&id=2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-
2-KETO-3-DEOXY-6-P-GLUCONATE	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	2-dehydro-3-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=2-KETO-3-DEOXY-6-P-GLUCONATE
