#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_62218_1092			
BSI__PFLU_U_BE1__K141_101439_1			
BSI__PFLU_U_BE1__K141_101439_2			
BSI__PFLU_U_BE1__K141_101439_3		tadA	
BSI__PFLU_U_BE1__K141_101439_4		kefB	
BSI__PFLU_U_BE1__K141_101439_5			
BSI__PFLU_U_BE1__K141_101439_6			
BSI__PFLU_U_BE1__K141_101439_7			
BSI__PFLU_U_BE1__K141_101439_8			
BSI__PFLU_U_BE1__K141_101439_9			
BSI__PFLU_U_BE1__K141_101439_10			
BSI__PFLU_U_BE1__K141_101439_11			
BSI__PFLU_U_BE1__K141_101439_12		trxA2	
BSI__PFLU_U_BE1__K141_101439_13		lonD	
BSI__PFLU_U_BE1__K141_101439_14		MA20_24965	
BSI__PFLU_U_BE1__K141_101439_15			
BSI__PFLU_U_BE1__K141_101439_16		hinT	
BSI__PFLU_U_BE1__K141_101439_17			
BSI__PFLU_U_BE1__K141_101439_18			
BSI__PFLU_U_BE1__K141_101439_19			
BSI__PFLU_U_BE1__K141_101439_20			
BSI__PFLU_U_BE1__K141_101439_21		glnK	
BSI__PFLU_U_BE1__K141_101439_22		amt_1	
BSI__PFLU_U_BE1__K141_101439_23			
BSI__PFLU_U_BE1__K141_101439_24			
BSI__PFLU_U_BE1__K141_101439_25		dapL	
BSI__PFLU_U_BE1__K141_101439_26		ftsK	
BSI__PFLU_U_BE1__K141_101439_27		lolA	
BSI__PFLU_U_BE1__K141_101439_28			
BSI__PFLU_U_BE1__K141_101439_29		xthA2	
BSI__PFLU_U_BE1__K141_101439_30			
BSI__PFLU_U_BE1__K141_101439_31			
BSI__PFLU_U_BE1__K141_101439_32			
BSI__PFLU_U_BE1__K141_101439_33			
BSI__PFLU_U_BE1__K141_101439_34			
BSI__PFLU_U_BE1__K141_101439_35			
BSI__PFLU_U_BE1__K141_101439_36			
BSI__PFLU_U_BE1__K141_101439_37			
BSI__PFLU_U_BE1__K141_101439_38			
BSI__PFLU_U_BE1__K141_101439_39			
BSI__PFLU_U_BE1__K141_101439_40			
BSI__PFLU_U_BE1__K141_101439_41			
BSI__PFLU_U_BE1__K141_101439_42			
BSI__PFLU_U_BE1__K141_101439_43		leuS	
BSI__PFLU_U_BE1__K141_101439_44			
BSI__PFLU_U_BE1__K141_101439_45		holA	
BSI__PFLU_U_BE1__K141_101439_46			
BSI__PFLU_U_BE1__K141_101439_47			
BSI__PFLU_U_BE1__K141_101439_48			
BSI__PFLU_U_BE1__K141_101439_49			
BSI__PFLU_U_BE1__K141_101439_50			
BSI__PFLU_U_BE1__K141_101439_51			
BSI__PFLU_U_BE1__K141_101439_52			
BSI__PFLU_U_BE1__K141_101439_53			
BSI__PFLU_U_BE1__K141_101439_54		qor	
BSI__PFLU_U_BE1__K141_101439_55			
BSI__PFLU_U_BE1__K141_101439_56			
BSI__PFLU_U_BE1__K141_101439_57			
BSI__PFLU_U_BE1__K141_101439_58			
BSI__PFLU_U_BE1__K141_101439_59			
BSI__PFLU_U_BE1__K141_101439_60			
BSI__PFLU_U_BE1__K141_101439_61			
BSI__PFLU_U_BE1__K141_101439_62		MA20_24795	
BSI__PFLU_U_BE1__K141_101439_63		maf	
BSI__PFLU_U_BE1__K141_101439_64		aroE	
BSI__PFLU_U_BE1__K141_101439_65		coaE	
BSI__PFLU_U_BE1__K141_101439_66		dnaQ	
BSI__PFLU_U_BE1__K141_101439_67			
BSI__PFLU_U_BE1__K141_101439_68			
BSI__PFLU_U_BE1__K141_101439_69		MA20_24770	
BSI__PFLU_U_BE1__K141_101439_70		mltA	
BSI__PFLU_U_BE1__K141_101439_71		smrA	
BSI__PFLU_U_BE1__K141_101439_72			
BSI__PFLU_U_BE1__K141_101439_73			
BSI__PFLU_U_BE1__K141_101439_74			
BSI__PFLU_U_BE1__K141_101439_75		hisB	
BSI__PFLU_U_BE1__K141_101439_76			
BSI__PFLU_U_BE1__K141_101439_77		hisH	
BSI__PFLU_U_BE1__K141_101439_78		hisA	
