Compound	Cluster	Classes	Common names	MetaCyc link
PROPANE-1-2-DIOL	3	Diols, Chemicals, FRAMES, DL-12-Propanediol, glycols, Alcohols, Compounds, Compounds-And-Elements	(S)-propane-1,2-diol	https://metacyc.org/compound?orgid=META&id=PROPANE-1-2-DIOL
CPD-14736	3	Amino-Acids, Chemicals, FRAMES, Organic-Acids, Acids, All-Amino-Acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	L-kynurenine	https://metacyc.org/compound?orgid=META&id=CPD-14736
ACETOL	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	hydroxyacetone	https://metacyc.org/compound?orgid=META&id=ACETOL
XANTHURENATE	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	xanthurenate	https://metacyc.org/compound?orgid=META&id=XANTHURENATE
ETOH	3	Chemicals, Primary-Alcohols, FRAMES, Fatty-Alcohols, Short-Chain-Primary-Alcohols, Short-Chain-Alcohols, Alcohols, Compounds, Compounds-And-Elements	ethanol	https://metacyc.org/compound?orgid=META&id=ETOH
D-METHYL-MALONYL-COA	3	Chemicals, Compounds-And-Elements, Esters, FRAMES, Thioesters, All-Coas, Compounds, Methylmalonyl-CoA	(S)-methylmalonyl-CoA	https://metacyc.org/compound?orgid=META&id=D-METHYL-MALONYL-COA
PROPIONYL-COA	3	Chemicals, Esters, FRAMES, Short-Chain-Acyl-CoAs, Saturated-Fatty-Acyl-CoA, Fatty-Acyl-CoAs, Thioesters, All-Coas, Short-Chain-234-Saturated-acyl-CoAs, ACYL-COA, Compounds, Compounds-And-Elements	propanoyl-CoA	https://metacyc.org/compound?orgid=META&id=PROPIONYL-COA
OCTAPRENYL-DIPHOSPHATE	3	Chemicals, Polyisoprenyl-Diphosphates, Lipids, FRAMES, Isoprenoid-Derivatives, Isoprenoid-Phosphates, TRANS-POLYISOPRENYL-PP, Polyisoprenoids, Compounds, Compounds-And-Elements	all-trans-octaprenyl diphosphate	https://metacyc.org/compound?orgid=META&id=OCTAPRENYL-DIPHOSPHATE
CPD-622	3	Chemicals, FRAMES, Tricarboxylates, Organic-Acids, Acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	(2S,3S)-2-methylcitrate	https://metacyc.org/compound?orgid=META&id=CPD-622
2-METHYL-3-HYDROXY-BUTYRYL-COA	3	Chemicals, HYDROXY-ACYL-COA, Esters, FRAMES, 3-HYDROXYACYL-COA, Thioesters, All-Coas, 3S-S-3-hydroxyacyl-CoAs, Short-Chain-3S-Hydroxy-2-Methyl-CoAs, ACYL-COA, 3S-Hydroxy-2-methylacyl-CoA, Compounds, Compounds-And-Elements	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA	https://metacyc.org/compound?orgid=META&id=2-METHYL-3-HYDROXY-BUTYRYL-COA
