Compound	Cluster	Classes	Common names	MetaCyc link
2-KETO-3-DEOXY-6-P-GLUCONATE	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	2-dehydro-3-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=2-KETO-3-DEOXY-6-P-GLUCONATE
3-UREIDO-ISOBUTYRATE	3	Compounds, Acids, All-Carboxy-Acids, Chemicals, Ureido-Compounds, Organic-Acids, Ureidocarboxylates, Carboxylates, Compounds-And-Elements, FRAMES	3-(carbamoylamino)-2-methylpropanoate	https://metacyc.org/compound?orgid=META&id=3-UREIDO-ISOBUTYRATE
DIHYDRO-THYMINE	3	Nitrogen-Molecular-Entities, Chemicals, Diazines, Modified-Bases, Organic-heterocyclic-compound, Compounds-And-Elements, Organonitrogen-Compounds, FRAMES, Pyrimidines, Compounds, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds	5,6-dihydrothymine	https://metacyc.org/compound?orgid=META&id=DIHYDRO-THYMINE
CPD-10683	3	Disaccharide-phosphates, All-Carbohydrates, Compounds, Glycans, Chemicals, Carbohydrate-Derivatives, Carbohydrate-phosphates, Carbohydrates, Compounds-And-Elements, FRAMES	mannosylfructose-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-10683
CPD-22402	3	All-Carbohydrates, Compounds, Glycans, Chemicals, Lipid-IVA, Lipid-A, Carbohydrates, Lipids, Glycoconjugates, Compounds-And-Elements, FRAMES, Glycolipids, Lipid-A-containing-Glycolipids	lipid IVA (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22402
CPD-10819	3	Compounds, All-Biopterines, Nitrogen-Molecular-Entities, Pterins, Compounds-And-Elements, Chemicals, Organic-heterobicyclic-compounds, Organic-heterocyclic-compound, Cofactors, Pteridines, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, Organic-Heteropolycyclic-Compounds, FRAMES	L-erythro-biopterin	https://metacyc.org/compound?orgid=META&id=CPD-10819
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	UDP-N-acetyl-&alpha;-D-glucosaminouronate	https://metacyc.org/compound?orgid=META&id=UDP-N-ACETYL-2-AMINO-D-GLUCURONATE
THYMIDINE	3	Deoxy-Ribonucleosides, Nitrogen-Molecular-Entities, Pyrimidine-Deoxyribonucleosides, Chemicals, Pyrimidine-Nucleosides, Nucleosides, Diazines, Organic-heterocyclic-compound, Compounds-And-Elements, Organonitrogen-Compounds, FRAMES, Pyrimidines, Compounds, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds	thymidine	https://metacyc.org/compound?orgid=META&id=THYMIDINE
CPD-19753	3	Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Carbohydrates, Compounds-And-Elements, Ketoaldonates, FRAMES	2-dehydro-3-deoxy-D-octonate	https://metacyc.org/compound?orgid=META&id=CPD-19753
KDO-8P	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	3-deoxy-D-manno-octulosonate 8-phosphate	https://metacyc.org/compound?orgid=META&id=KDO-8P
CMP-KDO	3	CMP-SUGARS, All-Carbohydrates, Compounds, Glycans, Chemicals, All-Nucleosides, Carbohydrate-Derivatives, Nucleotides, Carbohydrates, Compounds-And-Elements, FRAMES, NUCLEOTIDE-SUGARS, NMP-Sugars, Modified-Nucleotides	CMP-3-deoxy-&beta;-D-manno-octulosonate	https://metacyc.org/compound?orgid=META&id=CMP-KDO
