Compound	Cluster	Classes	Common names	MetaCyc link
NIACINAMIDE	3	Amides, B-vitamins, Compounds-And-Elements, FRAMES, Aliphatic-Amides, Carboxamides, Compounds, Vitamins, Chemicals	nicotinamide	https://metacyc.org/compound?orgid=META&id=NIACINAMIDE
2-ACETO-2-HYDROXY-BUTYRATE	3	Organic-Acids, Compounds-And-Elements, FRAMES, Carboxylates, Compounds, CPD-12642, All-Carboxy-Acids, Acids, Chemicals	(S)-2-aceto-2-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=2-ACETO-2-HYDROXY-BUTYRATE
THR	3	Amino-Acids-20, Polar-amino-acids, Carboxylates, All-Amino-Acids, All-Carboxy-Acids, Acids, L-Amino-Acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Uncharged-polar-amino-acids, Amino-Acids, Alpha-Amino-Acids, Compounds	L-threonine	https://metacyc.org/compound?orgid=META&id=THR
2-METHYL-ACETO-ACETYL-COA	3	3-Oxoacyl-CoAs, All-Coas, Esters, Compounds-And-Elements, FRAMES, Compounds, 2-Methyl-3-oxoacyl-CoAs, Thioesters, Short-Chain-2-Methyl-3-oxoacyl-CoAs, ACYL-COA, Chemicals	2-methylacetoacetyl-CoA	https://metacyc.org/compound?orgid=META&id=2-METHYL-ACETO-ACETYL-COA
OCTAPRENYL-DIPHOSPHATE	3	Lipids, Compounds-And-Elements, FRAMES, Isoprenoid-Phosphates, Compounds, Polyisoprenoids, Polyisoprenyl-Diphosphates, Isoprenoid-Derivatives, Chemicals, TRANS-POLYISOPRENYL-PP	all-trans-octaprenyl diphosphate	https://metacyc.org/compound?orgid=META&id=OCTAPRENYL-DIPHOSPHATE
CPD-12253	3	Fatty-Acids, Carboxylates, 2-Hydroxy-Fatty-Acids, Hydroxy-carboxylates, 2R-Hydroxy-Fatty-Acids, R2OH-Straight-Chain-234-Sat-FA, Compounds-And-Elements, FRAMES, Compounds, Hydroxy-fatty-acids, Hydroxy-Butyrates, IN-CHAIN-HYDROXY-FATTY-ACID, 2-Hydroxy-carboxylates, D-2-hydroxyacids, Even-Straight-Chain-234-Sat-FA, CPD66-39, All-Carboxy-Acids, Acids, Chemicals, Organic-Acids, 2-Or-3-Hydroxy-Fatty-Acids, Straight-Chain-234-Sat-FA	(R)-2-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=CPD-12253
2-KETO-3-METHYL-VALERATE	3	Fatty-Acids, Short-Chain-Carboxylates, Carboxylates, CPD66-39, Saturated-Fatty-Acids, CPD-21103, All-Carboxy-Acids, Acids, Anteiso-fatty-acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Branched-chain-fatty-acids, 2-Oxo-carboxylates, Compounds, Methyl-Branched-Fatty-Acids, Short-chain-fatty-acids, 2-Oxo-Acids	(3S)-3-methyl-2-oxopentanoate	https://metacyc.org/compound?orgid=META&id=2-KETO-3-METHYL-VALERATE
ACETALD	3	Compounds-And-Elements, FRAMES, Aldehydes-Or-Ketones, Chemicals, Compounds, n-Alkanals, Aldehydes	acetaldehyde	https://metacyc.org/compound?orgid=META&id=ACETALD
2-OXOBUTANOATE	3	Organic-Acids, Compounds-And-Elements, FRAMES, 2-Oxo-carboxylates, Carboxylates, Compounds, All-Carboxy-Acids, Acids, 2-Oxo-Acids, Chemicals	2-oxobutanoate	https://metacyc.org/compound?orgid=META&id=2-OXOBUTANOATE
1-KETO-2-METHYLVALERATE	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	(R)-2,3-dihydroxy-3-methylpentanoate	https://metacyc.org/compound?orgid=META&id=1-KETO-2-METHYLVALERATE
CPD-15435	3	CPD-608, FRAMES, Compounds-And-Elements, Compounds, Chemicals, Adenylates	(L-threonylcarbamoyl)adenylate	https://metacyc.org/compound?orgid=META&id=CPD-15435
ETOH	3	Compounds-And-Elements, FRAMES, Primary-Alcohols, Compounds, Short-Chain-Primary-Alcohols, Alcohols, Short-Chain-Alcohols, Fatty-Alcohols, Chemicals	ethanol	https://metacyc.org/compound?orgid=META&id=ETOH
